cobblefurnies:magenta_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/magenta_particle	cobblefurnies:block/blocks/pokewool/magenta_empty	cobblefurnies:block/blocks/pokewool/magenta_center	cobblefurnies:block/blocks/pokewool/magenta_vertical	cobblefurnies:block/blocks/pokewool/magenta_horizontal
cobblefurnies:magenta_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/magenta_particle	cobblefurnies:block/blocks/pokewool/magenta_empty	cobblefurnies:block/blocks/pokewool/magenta_center	cobblefurnies:block/blocks/pokewool/magenta_vertical	cobblefurnies:block/blocks/pokewool/magenta_horizontal
cobblefurnies:orange_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/orange_particle	cobblefurnies:block/blocks/pokewool/orange_empty	cobblefurnies:block/blocks/pokewool/orange_center	cobblefurnies:block/blocks/pokewool/orange_vertical	cobblefurnies:block/blocks/pokewool/orange_horizontal
cobblefurnies:orange_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/orange_particle	cobblefurnies:block/blocks/pokewool/orange_empty	cobblefurnies:block/blocks/pokewool/orange_center	cobblefurnies:block/blocks/pokewool/orange_vertical	cobblefurnies:block/blocks/pokewool/orange_horizontal
cobblefurnies:pink_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/pink_particle	cobblefurnies:block/blocks/pokewool/pink_empty	cobblefurnies:block/blocks/pokewool/pink_center	cobblefurnies:block/blocks/pokewool/pink_vertical	cobblefurnies:block/blocks/pokewool/pink_horizontal
cobblefurnies:pink_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/pink_particle	cobblefurnies:block/blocks/pokewool/pink_empty	cobblefurnies:block/blocks/pokewool/pink_center	cobblefurnies:block/blocks/pokewool/pink_vertical	cobblefurnies:block/blocks/pokewool/pink_horizontal
cobblefurnies:purple_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/purple_particle	cobblefurnies:block/blocks/pokewool/purple_empty	cobblefurnies:block/blocks/pokewool/purple_center	cobblefurnies:block/blocks/pokewool/purple_vertical	cobblefurnies:block/blocks/pokewool/purple_horizontal
cobblefurnies:purple_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/purple_particle	cobblefurnies:block/blocks/pokewool/purple_empty	cobblefurnies:block/blocks/pokewool/purple_center	cobblefurnies:block/blocks/pokewool/purple_vertical	cobblefurnies:block/blocks/pokewool/purple_horizontal
cobblefurnies:red_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/red_particle	cobblefurnies:block/blocks/pokewool/red_empty	cobblefurnies:block/blocks/pokewool/red_center	cobblefurnies:block/blocks/pokewool/red_vertical	cobblefurnies:block/blocks/pokewool/red_horizontal
cobblefurnies:red_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/red_particle	cobblefurnies:block/blocks/pokewool/red_empty	cobblefurnies:block/blocks/pokewool/red_center	cobblefurnies:block/blocks/pokewool/red_vertical	cobblefurnies:block/blocks/pokewool/red_horizontal
cobblefurnies:white_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/white_particle	cobblefurnies:block/blocks/pokewool/white_empty	cobblefurnies:block/blocks/pokewool/white_center	cobblefurnies:block/blocks/pokewool/white_vertical	cobblefurnies:block/blocks/pokewool/white_horizontal
cobblefurnies:white_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/white_particle	cobblefurnies:block/blocks/pokewool/white_empty	cobblefurnies:block/blocks/pokewool/white_center	cobblefurnies:block/blocks/pokewool/white_vertical	cobblefurnies:block/blocks/pokewool/white_horizontal
cobblefurnies:yellow_poke_wool	ctm	cobblefurnies:block/blocks/pokewool/yellow_particle	cobblefurnies:block/blocks/pokewool/yellow_empty	cobblefurnies:block/blocks/pokewool/yellow_center	cobblefurnies:block/blocks/pokewool/yellow_vertical	cobblefurnies:block/blocks/pokewool/yellow_horizontal
cobblefurnies:yellow_poke_wool_carpet	carpet_ctm	cobblefurnies:block/blocks/pokewool/yellow_particle	cobblefurnies:block/blocks/pokewool/yellow_empty	cobblefurnies:block/blocks/pokewool/yellow_center	cobblefurnies:block/blocks/pokewool/yellow_vertical	cobblefurnies:block/blocks/pokewool/yellow_horizontal
